YMD,Events,fatality
1908,1,1
1912,1,5
1913,3,45
1915,2,40
1916,5,108
1917,6,124
1918,4,65
1919,6,5
1920,17,24
1921,13,68
1922,11,80
1923,12,77
1924,7,18
1925,11,39
1926,12,30
1927,21,54
1928,37,124
1929,37,119
1930,24,138
1931,32,94
1932,28,75
1933,26,192
1934,30,126
1935,36,226
1936,43,227
1937,27,203
1938,51,414
1939,26,154
1940,18,169
1941,21,229
1942,32,363
1943,39,642
1944,47,601
1945,69,1314
1946,80,1306
1947,76,1233
1948,68,1069
1949,60,1085
1950,63,1382
1951,69,1166
1952,61,1200
1953,62,1188
1954,59,973
1955,52,864
1956,51,989
1957,57,1004
1958,62,1266
1959,60,1027
1960,62,1565
1961,52,1411
1962,73,2047
1963,58,1303
1964,69,1350
1965,69,1636
1966,69,1559
1967,91,1789
1968,96,2156
1969,82,1799
1970,87,2049
1971,67,1932
1972,104,2937
1973,89,2485
1974,82,2318
1975,75,1638
1976,86,2059
1977,81,2138
1978,77,1558
1979,89,2011
1980,65,1827
1981,66,1230
1982,70,1787
1983,61,1611
1984,65,1228
1985,74,2670
1986,64,1471
1987,74,1713
1988,83,2034
1989,95,2293
1990,72,1312
1991,88,1839
1992,86,2122
1993,67,1568
1994,87,1869
1995,79,1593
1996,81,2386
1997,68,1673
1998,69,1520
1999,78,970
2000,76,1429
2001,70,1398
2002,75,1437
2003,61,1276
2004,61,728
2005,51,1306
2006,49,1129
2007,54,931
2008,62,820
2009,55,1045
2010,51,1045
2011,53,712
2012,50,693
2013,56,355
2014,50,1215
2015,41,840
2016,35,388
