Date,Fatalities
19080917,1
19120712,5
19130806,1
19130909,14
19131017,30
19150305,21
19150903,19
19160728,20
19160924,22
19161001,19
19161121,27
19161128,20
19170304,20
19170330,23
19170514,21
19170614,24
19170821,18
19171020,18
19180407,23
19180510,22
19180811,19
19181216,1
19190525,1
19190719,1
19191002,1
19191014,1
19191020,0
19191030,1
19200310,1
19200330,1
19200410,1
19200411,1
19200512,1
19200606,1
19200816,2
19200901,2
19200915,2
19200927,1
19201002,2
19201005,2
19201015,1
19201107,1
19201214,4
19201224,1
19210203,1
19210209,3
19210215,2
19210222,1
19210406,1
19210421,1
19210429,1
19210517,1
19210716,1
19210814,2
19210824,46
19210906,5
19211205,3
19220114,5
19220221,34
19220407,7
19220408,17
19220413,3
19220603,3
19220726,3
19220907,1
19221002,4
19221025,2
19221203,1
19230110,3
19230117,1
19230118,1
19230226,1
19230514,6
19230827,2
19230907,1
19230914,6
19231118,2
19231206,1
19231223,52
19231224,1
19240307,1
19240424,3
19240608,3
19240801,1
19241106,1
19241221,1
19241224,8
19250322,5
19250425,4
19250525,2
19250625,4
19250626,2
19250720,1
19250724,1
19250903,14
19250907,3
19251001,1
19251114,2
19260212,1
19260308,1
19260531,1
19260703,7
19260709,2
19260724,4
19260818,4
19260926,2
19261008,4
19261021,0
19261111,3
19261216,1
19270112,2
19270320,1
19270324,3
19270415,1
19270422,3
19270502,1
19270727,5
19270822,1
19270903,1
19270917,7
19270922,2
19270923,6
19271006,2
19271030,4
19271116,7
19271129,1
19271226,2
19271228,1
19271231,4
19280108,3
19280116,2
19280122,3
19280127,1
19280226,1
19280303,10
19280311,2
19280417,1
19280419,9
19280507,1
19280512,2
19280526,3
19280614,5
19280622,1
19280710,6
19280713,4
19280724,1
19280825,7
19280902,3
19280904,8
19280906,3
19281004,3
19281018,1
19281031,1
19281115,1
19281124,3
19281125,4
19281201,5
19281203,14
19281204,6
19281211,3
19281220,1
19281223,4
19281231,2
19290105,1
19290118,1
19290125,2
19290131,3
19290317,14
19290330,4
19290421,6
19290518,2
19290522,4
19290610,2
19290614,1
19290617,7
19290624,1
19290629,6
19290811,4
19290813,1
19290824,5
19290902,1
19290903,8
19290906,3
19290917,7
19291026,7
19291029,1
19291031,2
19291104,4
19291106,7
19291115,3
19291130,1
19291202,1
19291214,3
19291219,2
19291230,5
19300110,1
19300113,3
19300119,16
19300125,2
19300127,5
19300203,1
19300210,2
19300418,4
19300510,3
19300605,1
19300707,5
19300710,5
19300822,10
19300911,2
19300925,3
19301005,48
19301006,8
19301012,4
19301028,3
19301030,4
19301107,1
19301118,3
19301209,4
19310108,2
19310122,1
19310208,1
19310220,2
19310224,1
19310321,8
19310331,8
19310414,2
19310505,2
19310522,1
19310524,1
19310607,4
19310611,2
19310613,4
19310712,2
19310714,2
19310721,1
19310724,7
19310809,6
19310914,1
19310916,4
19311006,3
19311014,3
19311105,5
19311113,3
19311123,1
19311124,3
19311126,1
19311205,2
19311206,5
19311209,2
19311231,4
19320121,1
19320129,8
19320201,5
19320202,2
19320227,3
19320308,2
19320319,7
19320321,1
19320329,3
19320331,1
19320421,1
19320503,2
19320516,3
19320716,9
19320812,1
19320830,2
19320908,3
19320917,1
19320918,3
19321012,1
19321026,2
19321029,2
19321102,5
19321125,2
19321214,3
19321226,2
19330110,1
19330114,2
19330120,2
19330124,1
19330311,2
19330325,3
19330328,15
19330403,1
19330404,73
19330423,6
19330429,4
19330509,6
19330602,1
19330829,5
19330912,8
19331010,10
19331031,2
19331109,4
19331110,1
19331120,8
19331121,14
19331124,2
19331211,7
19331214,4
19331230,10
19340115,14
19340120,2
19340223,8
19340226,1
19340306,4
19340310,5
19340322,3
19340410,3
19340509,6
19340531,2
19340609,7
19340611,5
19340622,1
19340623,1
19340709,3
19340727,12
19340805,2
19340810,0
19340831,5
19341003,3
19341019,11
19341102,2
19341115,10
19341207,3
19341208,1
19341210,4
19341220,7
19341222,1
19350126,1
19350131,11
19350307,3
19350315,3
19350329,5
19350401,1
19350406,7
19350501,1
19350506,5
19350518,53
19350527,1
19350528,2
19350529,6
19350624,17
19350714,6
19350719,2
19350720,13
19350813,0
19350814,4
19350815,5
19350901,3
19351002,5
19351007,12
19351009,6
19351021,1
19351030,4
19351102,4
19351109,15
19351111,3
19351204,1
19351210,11
19351224,3
19351231,12
19360114,17
19360117,13
19360121,6
19360129,1
19360215,4
19360305,0
19360326,14
19360401,2
19360407,13
19360411,3
19360415,7
19360417,3
19360421,2
19360430,2
19360516,2
19360609,1
19360613,1
19360616,7
19360731,7
19360802,3
19360803,1
19360805,8
19360806,2
19360812,2
19360822,2
19360925,2
19360928,3
19360929,4
19361006,1
19361009,1
19361101,11
19361106,9
19361117,4
19361119,2
19361204,6
19361207,5
19361209,15
19361215,7
19361218,2
19361219,14
19361223,6
19361226,0
19361227,12
19370112,5
19370126,12
19370209,11
19370219,5
19370312,4
19370324,5
19370325,13
19370326,2
19370506,35
19370520,4
19370702,2
19370728,15
19370802,9
19370803,14
19370808,3
19370810,4
19370823,3
19370827,1
19371001,2
19371006,4
19371017,19
19371112,10
19371116,11
19371126,3
19371205,2
19371208,2
19371224,3
19380104,6
19380110,10
19380111,7
19380112,1
19380202,11
19380205,13
19380209,10
19380222,3
19380301,9
19380307,7
19380308,1
19380323,8
19380412,19
19380505,1
19380510,2
19380516,9
19380522,2
19380524,10
19380527,4
19380608,3
19380619,4
19380708,10
19380714,20
19380722,14
19380724,1
19380727,4
19380729,15
19380810,18
19380813,16
19380815,9
19380818,20
19380824,14
19380829,5
19381001,17
19381010,20
19381025,18
19381102,2
19381104,14
19381114,6
19381118,2
19381126,11
19381127,4
19381129,7
19381208,10
19381209,4
19381212,13
19390107,5
19390113,13
19390118,4
19390121,3
19390224,10
19390314,3
19390316,8
19390318,10
19390326,8
19390403,9
19390501,2
19390502,9
19390508,1
19390610,3
19390720,6
19390804,7
19390813,14
19390815,5
19390828,2
19390830,7
19390926,1
19391120,2
19391218,10
19391221,5
19391224,7
19400115,8
19400301,8
19400422,3
19400602,5
19400614,9
19400620,1
19400707,0
19400809,2
19400813,10
19400823,14
19400831,25
19401029,11
19401104,10
19401108,29
19401109,18
19401127,6
19401204,10
19410115,10
19410118,12
19410120,5
19410123,2
19410206,12
19410226,9
19410301,3
19410328,10
19410603,6
19410619,15
19410621,18
19410810,22
19410814,22
19410818,8
19410901,23
19411003,2
19411028,13
19411030,34
19411211,3
19420116,22
19420120,11
19420124,0
19420126,0
19420130,13
19420214,0
19420215,9
19420220,9
19420228,20
19420303,27
19420314,13
19420421,12
19420501,17
19420512,3
19420701,21
19420707,10
19420720,13
19420813,4
19420821,4
19420822,13
19420823,13
19420825,13
19420927,25
19421001,22
19421003,11
19421022,17
19421023,12
19421030,10
19421215,17
19421219,2
19430109,13
19430115,35
19430118,26
19430121,19
19430122,14
19430209,19
19430218,10
19430222,25
19430311,3
19430313,3
19430327,24
19430422,13
19430601,17
19430607,20
19430614,40
19430616,17
19430630,16
19430704,12
19430728,32
19430801,10
19430807,27
19430811,3
19430827,25
19430910,22
19430920,25
19430922,20
19431015,15
19431019,24
19431022,33
19431108,1
19431119,5
19431126,15
19431218,3
19431219,31
19431229,25
19440115,5
19440210,24
19440220,2
19440221,16
19440322,21
19440406,6
19440417,5
19440421,9
19440425,16
19440526,12
19440527,14
19440606,66
19440608,6
19440618,2
19440620,10
19440726,26
19440727,22
19440731,22
19440803,28
19440808,17
19440812,2
19440823,3
19440828,20
19440830,16
19440902,5
19440907,20
19440918,19
19440921,17
19440927,9
19441007,3
19441010,7
19441011,1
19441016,15
19441017,1
19441018,24
19441104,24
19441109,0
19441119,25
19441129,41
19441130,3
19441201,9
19441203,5
19441215,3
19450106,4
19450108,23
19450110,24
19450114,4
19450116,3
19450123,11
19450131,10
19450202,23
19450206,23
19450213,24
19450215,11
19450223,30
19450327,24
19450409,3
19450414,20
19450419,13
19450420,43
